,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
75,NA,318,1,Australia,Colombo,22-08-2011,field,Sri Lanka,R Premadasa Stadium,Sri Lanka,Australia,46.1,197,8,2,2,2,14,211,5,0,4,1,0,0,10
76,NA,318,2,Sri Lanka,Colombo,22-08-2011,field,Sri Lanka,R Premadasa Stadium,Sri Lanka,Australia,46.6,191,15,0,0,7,22,213,5,0,1,0,0,0,6
77,NA,319,1,Australia,,5/2/2012,field,India,Melbourne Cricket Ground,Australia,India,31.8,208,4,2,0,2,8,216,3,0,2,0,0,0,5
78,NA,319,2,India,,5/2/2012,field,India,Melbourne Cricket Ground,Australia,India,29.4,144,5,0,0,2,7,151,8,0,1,0,1,0,10
79,NA,320,1,Sri Lanka,Perth,8/2/2012,bat,Sri Lanka,Western Australia Cricket Association Ground,India,Sri Lanka,49.6,220,7,0,0,6,13,233,5,0,0,0,1,2,8
80,NA,320,2,India,Perth,8/2/2012,bat,Sri Lanka,Western Australia Cricket Association Ground,India,Sri Lanka,46.4,227,2,0,0,5,7,234,4,0,1,0,1,0,6
81,NA,321,1,Australia,Perth,10/2/2012,field,Sri Lanka,Western Australia Cricket Association Ground,Australia,Sri Lanka,49.1,220,5,0,0,6,11,231,6,1,1,1,0,1,10
82,NA,321,2,Sri Lanka,Perth,10/2/2012,field,Sri Lanka,Western Australia Cricket Association Ground,Australia,Sri Lanka,49.5,217,6,0,0,3,9,226,6,0,1,1,1,1,10
83,NA,322,1,Australia,,12/2/2012,bat,Australia,Adelaide Oval,Australia,India,49.6,260,4,1,0,4,9,269,3,0,2,0,3,0,8
84,NA,322,2,India,,12/2/2012,bat,Australia,Adelaide Oval,Australia,India,49.5,258,9,1,0,2,12,270,4,0,1,1,0,0,6
85,NA,323,1,Australia,,17-02-2012,bat,Australia,Sydney Cricket Ground,Australia,Sri Lanka,40.5,145,11,0,0,2,13,158,4,1,0,2,3,0,10
