,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
631,NA,599,2,Bangladesh,Grenada,22-08-2014,field,Bangladesh,"National Cricket Stadium, St George's",West Indies,Bangladesh,24.4,65,5,0,0,0,5,70,6,0,2,1,1,0,10
632,NA,600,1,South Africa,Bulawayo,17-08-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,South Africa,49.6,287,16,0,0,6,22,309,3,0,0,0,0,0,3
633,NA,600,2,Zimbabwe,Bulawayo,17-08-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,South Africa,49.5,207,4,1,0,4,9,216,7,0,1,2,0,0,10
634,NA,601,1,South Africa,Bulawayo,19-08-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,South Africa,49.4,243,7,0,0,7,14,257,6,0,2,1,1,0,10
635,NA,601,2,Zimbabwe,Bulawayo,19-08-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,South Africa,49.1,179,6,1,2,8,17,196,5,0,3,2,0,0,10
636,NA,602,1,Zimbabwe,Bulawayo,21-08-2014,field,South Africa,Queens Sports Club,Zimbabwe,South Africa,39.5,148,11,0,0,6,17,165,4,0,3,3,0,0,10
637,NA,602,2,South Africa,Bulawayo,21-08-2014,field,South Africa,Queens Sports Club,Zimbabwe,South Africa,27.2,165,5,1,0,0,6,171,1,0,1,0,1,0,3
638,NA,603,1,Afghanistan,Kuala Lumpur,2/5/2014,field,United Arab Emirates,Kinrara Academy Oval,Afghanistan,United Arab Emirates,49.6,291,4,0,4,3,11,302,1,1,0,2,0,1,5
639,NA,603,2,United Arab Emirates,Kuala Lumpur,2/5/2014,field,United Arab Emirates,Kinrara Academy Oval,Afghanistan,United Arab Emirates,44.3,209,10,0,0,13,23,232,6,1,2,1,0,0,10
640,NA,604,1,Hong Kong,Kuala Lumpur,4/5/2014,field,United Arab Emirates,Kinrara Academy Oval,Hong Kong,United Arab Emirates,45.2,145,5,0,2,5,12,157,4,2,2,1,1,0,10
